id	startnum	endnum	textname	author	genre	year	Voice	IO	DO	To	Order
1495	42391	42399	Dorothy Dale : a girl of today		FIC	1908	Passive	NA	NA	NA	NA
437726	4146	4156	Imagination in business	Lorin F Deland	MAG	1909	Passive	Noun	Pronoun	To	AccDat
2111	97186	97204	The Calling of Dan Matthews	"Wright, Harold Bell, 1872-1944"	FIC	1909	Passive	Pronoun	Noun	NoTo	AccDat
678707	817	860	R.W. GILDER DIES OF HEART DISEASE; Editor of 		NEWS	1909	Passive	Pronoun	Noun	NoTo	DatAcc
770902	70701	70729	American Men of Mind	"Stevenson, Burton Egbert, 1872-1962"	NF	1910	Passive	Pronoun	Noun	NoTo	DatAcc
772166	44693	44747	Hero-Myths & Legends of the British Race	"Ebbutt, M. I. (Maud Isabel), 1867-"	NF	1910	Passive	Pronoun	Noun	NoTo	DatAcc
1148	45705	45736	Tales of Men and Ghosts	"Wharton, Edith, 1862-1937"	FIC	1910	Passive	NA	NA	NA	NA
487080	1412	1451	Literature		MAG	1911	Passive	Pronoun	Pronoun	NoTo	AccDat
767101	76981	77010	Old-Time Makers of Medicine The Story of The Students And Teachers of the Sciences Related to 	"Walsh, James Joseph, 1865-1942"	NF	1911	Passive	Pronoun	Noun	NoTo	DatAcc
773469	20585	20614	Pushing to the Front	Orison Swett Marden	NF	1911	Passive	Pronoun	Noun	NoTo	DatAcc
13932	8671	8682	The Boss	"Sheldon, Edward, 1886-1946"	FIC	1911	Passive	NA	NA	NA	NA
3367	6777	6822	How Ethel Hollister Became a Campfire Girl		FIC	1912	Passive	NA	NA	NA	NA
436313	6008	6018	Judah P Benjamin	Gamaliel Bradford Jr	MAG	1913	Passive	Pronoun	Noun	NoTo	DatAcc
773580	19897	19914	Art and Common Sense	Royal Cortissoz	NF	1913	Passive	Pronoun	Noun	NoTo	DatAcc
4921	7342	7352	A Pirate of Parts		FIC	1913	Passive	Pronoun	Noun	NoTo	DatAcc
5228	113601	113613	Otherwise Phyllis		FIC	1913	Passive	NA	NA	NA	NA
680688	13	35	TOPICS OF 		NEWS	1913	Passive	Pronoun	Pronoun	To	AccDat
680723	1833	1846	HEARST MEN BOLT FUSION NOMINEES; Denounce McAneny and Prendergast for Broken Pledges and Name Substitutes	Marconi Transatlantic Wireless Telegraph to 	NEWS	1913	Passive	NA	NA	NA	NA
435908	1755	1762	Alsace-Lorraine: A study in conquest	David Starr Jordan	MAG	1914	Passive	NA	NA	NA	NA
487162	1180	1193	Editorials		MAG	1914	Passive	NA	NA	NA	NA
2992	65660	65690	The Land of Promise		FIC	1914	Passive	Pronoun	Pronoun	NoTo	AccDat
3214	5365	5404	The Boy Scout		FIC	1914	Passive	NA	NA	NA	NA
681033	1342	1361	CARRANZA PLAYS FOR RECOGNITION; Halting of Benton Inquiry Regarded in Washington as a Clever Bit of Diplomacy	Marconi Transatlantic Wireless Telegraph to 	NEWS	1914	Passive	NA	NA	NA	NA
681528	665	700	DR. HADLEY OPPOSES THIRD YALE COLLEGE; Says Proposal Does Not Meet 	CYRUS C. ADAMS. Member of 	NEWS	1914	Passive	Pronoun	Noun	NoTo	DatAcc
766611	7874	7932	Health Work in the Public Schools	"Ayres, Leonard Porter, 1879-1946"	NF	1915	Passive	NA	NA	NA	NA
14513	8816	8832	Hit-the-Trail-Holiday	"Cohan, George Michael, 1878-1942"	FIC	1915	Passive	Pronoun	Noun	NoTo	DatAcc
486218	2812	2841	Notes		MAG	1916	Passive	NA	NA	NA	NA
493056	278	296	The Note as Americanism		MAG	1916	Passive	Pronoun	Pronoun	To	AccDat
430769	3790	3804	Verdun—Riga—The Isonzo	Frank H. Simonds	MAG	1917	Passive	NA	NA	NA	NA
434821	1003	1012	Recollections of a rebel reefer. I	James Morris Morgan	MAG	1917	Passive	Pronoun	Noun	NoTo	DatAcc
466710	5169	5200	Mark Twain's letters	Albert Bigelow Paine	MAG	1917	Passive	Pronoun	Noun	NoTo	DatAcc
773546	19495	19526	The Profession of Teaching	O.I. Woodley and M. Virginia Woodley	NF	1917	Passive	NA	NA	NA	NA
2151	6493	6519	There's Pippins and Cheese to Come	"Brooks, Charles S. (Charles Stephen), 1878-1934"	FIC	1917	Passive	NA	NA	NA	NA
3289	93820	93835	My Ántonia		FIC	1918	Passive	Pronoun	Noun	NoTo	DatAcc
3672	5982	5995	On the Stairs		FIC	1918	Passive	NA	NA	NA	NA
380	48037	48079	Cabin Fever		FIC	1918	Passive	Pronoun	Pronoun	To	AccDat
