old_id	id	startnum	endnum	textname	author	genre	year	Voice	IO	DO	To	Order
49895	780075	55633	55647	The Promise	Chaim Potok	FIC	1969	Active	Pronoun	Pronoun	To	AccDat
45794	10377	119800	119851	Enemy Camp		FIC	1958	Active	Pronoun	Pronoun	To	AccDat
10767	9814	146453	146470	The Story of Kennett		FIC	1866	Active	Noun	Pronoun	To	AccDat
40947	708728	888	901	Cadets Salute General; Home Town Awaits 'Ike'; Hero Admires-Heroes Kiss for an Autograph Ike' Remembered		NEWS	1945	Active	Pronoun	Pronoun	To	AccDat
52835	493859	880	905	How the Rich Stay Rich		MAG	1978	Active	Pronoun	Pronoun	To	AccDat
32242	4196	11857	11870	The Flaming Jewel		FIC	1922	Active	Noun	Pronoun	To	AccDat
32248	1726	27666	27686	Flowing Gold	"Beach, Rex Ellingwood, 1877-1949"	FIC	1922	Active	Noun	Pronoun	To	AccDat
47716	780077	27108	27123	Joy in the Morning	Betty Smith	FIC	1963	Active	Pronoun	Pronoun	To	AccDat
30976	5739	34841	34861	The Gorgeous Girl	"Bartley, Nalbro, 1888-"	FIC	1920	Active	Noun	Pronoun	To	AccDat
32727	1553	126920	126949	Viola Gwyn		FIC	1922	Active	Noun	Pronoun	To	AccDat
43839	10285	139990	140011	Sybil		FIC	1952	Active	Noun	Pronoun	To	AccDat
41521	16685	30189	30217	From This Day Forward		FIC	1946	Active	Noun	Pronoun	To	AccDat
41520	16685	28867	28879	From This Day Forward		FIC	1946	Active	Pronoun	Pronoun	To	AccDat
39637	16129	4262	4274	Underground	"Mayer, Edwin Justus, 1896-1960; Garrett, Oliver H.P., 1894-1952"	FIC	1941	Active	Pronoun	Pronoun	To	AccDat
37648	701963	715	726	"CORBETT ACCUSED OF SEEKING BRIBE; Heard Luckmans Were Passing Out Money and Wanted Part of It, Witness Insists"	ARTHUR KROCKSpecial to 	NEWS	1936	Active	Pronoun	Pronoun	To	AccDat
52361	10607	184031	184059	Speedboat		FIC	1976	Active	Noun	Pronoun	To	AccDat
54010	780051	18916	18923	Different Seasons	Stephen King	FIC	1982	Active	Pronoun	Pronoun	To	AccDat
28465	481	66780	66798	Story of Waitstill Baxter	"Wiggin, Kate Douglas Smith, 1856-1923"	FIC	1913	Active	Pronoun	Pronoun	To	AccDat
59199	32315	1527	1549	The search /	"Jenkins, Jerry B.  LaHaye, Tim F.  Fabry, Chris. "	FIC	2000	Active	Noun	Pronoun	To	AccDat
51798	780106	19723	19737	Five Gates to Armageddon	John Christian	FIC	1975	Active	Pronoun	Pronoun	To	AccDat
35076	780117	42622	42632	The Fifth Son of the Shoemaker	Donald Corley	FIC	1930	Active	Pronoun	Pronoun	To	AccDat
46598	10395	26063	26074	Lovely Ambition		FIC	1960	Active	Pronoun	Pronoun	To	AccDat
10337	9018	53379	53409	Dora Darling; the Daughter of the Regiment		FIC	1865	Active	Pronoun	Pronoun	NoTo	AccDat
50825	10557	38637	38644	Fortune Made His Sword		FIC	1972	Active	Pronoun	Pronoun	NoTo	AccDat
43299	780015	30564	30586	God's Men	Pearl S. Buck	FIC	1951	Active	Noun	Pronoun	To	AccDat
52538	16308	20984	20991	Rolling Thunder	"Schrader, Paul, 1946-"	FIC	1977	Active	Noun	Pronoun	To	AccDat
52539	16308	25090	25101	Rolling Thunder	"Schrader, Paul, 1946-"	FIC	1977	Active	Noun	Pronoun	To	AccDat
970	7269	9943	10005	"Hope Leslie, volume 1"		FIC	1827	Active	Noun	Pronoun	To	AccDat
48386	10465	32020	32028	Looking Glass War		FIC	1965	Active	Noun	Pronoun	To	AccDat
48385	10465	770	784	Looking Glass War		FIC	1965	Active	Noun	Pronoun	To	AccDat
59522	13583	4555	4572	Sisters of the Winter Madrigal	"Henley, Beth, 1952-"	FIC	2001	Active	Pronoun	Pronoun	To	AccDat
59525	13658	10109	10120	"Will He Bop, Will He Drop"	"Alexander, Robert, fl. 1990-2002"	FIC	2001	Active	Noun	Pronoun	To	AccDat
24257	5202	19364	19380	The Strange Adventures of Mr. Middleton	"Curtis, Wardon Allan,  1867-1940"	FIC	1903	Active	Noun	Pronoun	To	AccDat
1464	8914	19782	19788	The Disowned		FIC	1830	Active	Pronoun	Pronoun	To	AccDat
51184	10576	89935	89949	Hollow Hills		FIC	1973	Active	Noun	Pronoun	To	AccDat
2035	7042	5347	5357	"Everard Graham, from The Literary and Miscellaneous Scrap Book [W. Fields, Jr., comp.] [nos. 956-957]"		FIC	1833	Active	Noun	Pronoun	To	AccDat
34923	163346	336	350	[People]		MAG	1929	Active	Noun	Pronoun	To	AccDat
40004	10165	11802	11831	High Window	Raymond Chandler	FIC	1942	Active	Pronoun	Pronoun	To	AccDat
40006	10165	21469	21481	High Window	Raymond Chandler	FIC	1942	Active	Pronoun	Pronoun	To	AccDat
55392	10739	31381	31391	Whirlwind		FIC	1986	Active	Noun	Pronoun	To	AccDat
44732	781962	64211	64222	A Dream of Kings	Davis Grubb	FIC	1955	Active	Pronoun	Pronoun	To	AccDat
11857	699	33589	33635	Stepping Heavenward		FIC	1869	Active	Noun	Pronoun	To	AccDat
59093	52738	961	989	Flowers for Algernon	"Keyes, Daniel"	FIC	2000	Active	Pronoun	Pronoun	NoTo	AccDat
25308	4792	68862	68931	In Our Town		FIC	1906	Active	Pronoun	Pronoun	To	AccDat
25307	4792	66009	66036	In Our Town		FIC	1906	Active	Noun	Pronoun	To	AccDat
25304	4792	38363	38379	In Our Town		FIC	1906	Active	Noun	Pronoun	To	AccDat
25303	4792	37695	37717	In Our Town		FIC	1906	Active	Pronoun	Pronoun	To	AccDat
20428	516090	2059	2090	The Russian and His Jew	Poultney Bigelow	MAG	1894	Active	Pronoun	Pronoun	To	AccDat
56039	10784	521	547	My Secret History		FIC	1989	Active	Pronoun	Pronoun	To	AccDat
24778	2765	83777	83792	I.N.R.I. A prisoner's Story of the Cross		FIC	1905	Active	Noun	Pronoun	To	AccDat
40611	10166	101503	101525	Valley of Decision	Marcia Davenport	FIC	1943	Active	Noun	Pronoun	To	AccDat
38798	704019	1672	1690	"FRIEND OF MARTIN DESCRIBES 'LOAN'; Lawyer Testifies He Put Up $1,000 and That Abortion Indictment Was Killed"	MARSHALL NEWTON Special to 	NEWS	1939	Active	Noun	Pronoun	To	AccDat
18125	9454	16778	16785	'49: Forty-Nine		FIC	1888	Active	Pronoun	Pronoun	To	AccDat
22469	3417	47588	47600	"The Black Wolf's Breed A Story of France in the Old World and the New, happening in the Reign of Louis XIV"		FIC	1899	Active	Pronoun	Pronoun	NoTo	AccDat
25114	5166	68275	68312	The Doomsman		FIC	1906	Active	Noun	Pronoun	To	AccDat
57187	25008	40282	40299	Strange Devices of the Sun and Moon	Lisa Goldstein	FIC	1993	Active	Noun	Pronoun	To	AccDat
