"","Text","Lat","Long","Location","Dialect","Genre","YoC","YoM","AuthName","AuthBD","AuthSex","AuthAge","RecName","RecBD","RecSex","RecAge","RecRelation","Words","OCWords","NamWords","ForWords","Types","OCTypes","NamTypes","ForTypes","Chars","OCChars","NamChars","ForChars","Tokens","pseud","pass","act","relative","questions","selected","advantage"
"503526","CONWAY_087","x","x","x","x","l",1679,1679,"Edward_Conway_Jr","1623","m","56","Anne_Conway[n.finch]","1631","f","48","WIFE",641,141,25,0,255,125,19,0,5725,823,138,0,30,"b","nan","act","nie","qnie","selact","not"
"504011","CONWAY_093","x","x","x","x","l",1651,1651,"Anne_Conway[n.finch]","1631","f","20","Henry_More","1614","m","37","FRIEND",1179,309,19,2,374,198,15,2,7975,1739,96,14,35,"b","nan","act","nie","qnie","selact","not"
"504546","CONWAY_097","x","x","x","x","l",1672,1672,"Henry_More","1614","m","58","Anne_Conway[n.finch]","1631","f","41","FRIEND",2352,559,76,5,664,356,51,5,16508,3301,454,44,73,"b","nan","act","nie","qnie","selact","not"
"504820","CONWAY_098","x","x","x","x","L",1658,1658,"Henry_More","1614","m","44","Edward_Conway_Jr","1623","m","35","x",1878,458,27,4,610,311,15,4,12082,2905,146,30,51,"p","van","nan","nie","qnie","selpse","not"
"504882","CONWAY_098","x","x","x","x","L",1658,1658,"Henry_More","1614","m","44","Edward_Conway_Jr","1623","m","35","x",1878,458,27,4,610,311,15,4,12082,2905,146,30,51,"p","van","nan","nie","qnie","selpse","not"
"505032","CORIE_006","x","x","x","x","L",1667,1667,"Thomas_Corie","_","m","_","Joseph_Williamson","1633","m","34","x",303,76,6,0,149,70,6,0,2294,458,36,0,14,"b","nan","act","nie","qnie","selact","not"
"505489","CORIE_013","x","x","x","x","L",1671,1671,"Thomas_Corie","_","m","_","Unknown_Recipient_3","_","m","_","x",2266,725,77,2,737,442,46,2,12061,4295,471,5,31,"b","nan","act","nie","qnie","selact","not"
"505701","CORNWAL_004","x","x","x","x","L",1613,1613,"Elnathan_Parr","_","m","_","Anne_Bacon[n.butts]","_","f","_","x",1454,372,49,1,451,243,15,1,9368,2167,238,4,45,"p","van","nan","nie","qnie","selpse","not"
"506197","CORNWAL_019","x","x","x","x","l",1614,1614,"Lucy_Russel[n.harrington]","1582","f","32","Jane_Cornwallis/bacon[n.meautys]","1581","f","33","FRIEND",906,234,27,0,357,190,18,0,6774,1290,166,0,26,"b","nan","act","nie","qnie","selact","not"
"507884","CORNWAL_049","x","x","x","x","l",1620,1620,"Lucy_Russel[n.harrington]","1582","f","38","Jane_Cornwallis/bacon[n.meautys]","1581","f","39","FRIEND",665,139,16,0,261,114,15,0,5188,787,106,0,21,"b","nan","act","nie","qnie","selact","not"
"507930","CORNWAL_051","x","x","x","x","l",1621,1621,"Lucy_Russel[n.harrington]","1582","f","39","Jane_Cornwallis/bacon[n.meautys]","1581","f","40","FRIEND",513,123,13,0,229,106,12,0,3366,720,72,0,11,"b","nan","act","nie","qnie","selact","not"
"508129","CORNWAL_055","x","x","x","x","l",1623,1623,"Lucy_Russel[n.harrington]","1582","f","41","Jane_Cornwallis/bacon[n.meautys]","1581","f","42","FRIEND",371,85,11,0,184,72,10,0,2430,459,68,0,8,"b","nan","act","nie","qnie","selact","not"
